"Programme name","Country","Institution","Field","Level","Deadline","Application opening period","Funding / salary","Duration","Eligibility","Visa / nationality restrictions","Link","Contact person","Fit score 1–5","Notes","Status"
"Oxford Statistics Summer Research Internships","United Kingdom","University of Oxford Department of Statistics","statistics; machine learning; probability; data science; mathematics","Bachelor; Master","2026-02-16","Historically January–February; monitor the department page.","2026 bursary of £4,218 plus college accommodation.","Seven to eight weeks.","Undergraduate and master's students with a strong quantitative background; project-specific criteria apply.","International participation and right-to-work requirements must be verified for the individual call.","https://www.stats.ox.ac.uk/statistics-summer-research-internships","Department internship team","5","Small, fully funded and strongly aligned with statistical ML and PhD preparation.","To check"
"DAAD RISE Germany","Germany","German Academic Exchange Service (DAAD)","engineering; physics; computer science; mathematics; life sciences","Bachelor","2026-11-30","Official 2027 student application period: 15 October–30 November 2026.","DAAD monthly scholarship, insurance and travel subsidy under programme rules.","Ten weeks to three months in summer.","Undergraduates enrolled at universities in the United States, Canada, United Kingdom or Ireland with at least two years completed by the internship.","Nationality may differ from study country if the applicant has studied there for at least twelve months; German nationals are ineligible.","https://www.daad.de/rise/en/rise-germany/","RISE Germany team","3","Official future window is known, but eligibility is tied to institution country.","To check"
"DESY Summer Student Programme","Germany","DESY","particle physics; accelerator physics; photon science; scientific computing; engineering","Bachelor; Master","2026-01-31","Typically winter for the following summer.","Subsistence allowance and travel support are provided under the annual call.","21 July–10 September 2026, approximately 7.5 weeks.","Advanced undergraduates who have completed at least three years of full-time study in physics, computing, engineering or related natural sciences.","International students are eligible, subject to annual nationality and enrolment conditions.","https://summerstudents.desy.de/","DESY Summer Student team","4","Strong physics/scientific-computing programme with research work and lecture series.","To check"
"ISTA Year-round Scientific Internships","Austria","Institute of Science and Technology Austria","machine learning; computer science; mathematics; physics; data science; neuroscience","Bachelor; Master","","Direct applications to research groups are accepted throughout the year.","Selected scientific interns are employed and paid under Austrian rules.","Short- or longer-term placements arranged with the host group.","Bachelor's and master's students with relevant academic preparation who secure a supervising ISTA research group.","International students may apply; residence and work authorization depend on duration and nationality.","https://www.ist.ac.at/en/education/internship-and-scholarship/","Prospective host-group leader","5","Separate from the paused centralized ISTernship summer call.","To check"
"PSI Summer Student Programme","Switzerland","Paul Scherrer Institute","physics; engineering; materials science; energy; scientific computing","Bachelor; Master","2026-01-31","Usually winter for the following summer.","Financial support is provided; annual call controls the exact amount and travel terms.","Eight to twelve weeks.","Students close to completing a bachelor's or master's degree in natural science or engineering.","International applications are accepted; permit details depend on nationality.","https://www.psi.ch/en/summerstudents","PSI Summer Student team","4","Research-centre placement with a strong physics, engineering and computing profile.","To check"
"ESA Student Internships","Multiple European locations","European Space Agency","space engineering; AI; data science; signal processing; physics; control","Master","","Internship opportunities are published each November and remain open for about one month.","Monthly allowance; ESA does not normally cover travel or accommodation.","Three to six months.","Students enrolled for the full internship, normally in the final or penultimate year of a master's programme.","Applicants must be nationals of ESA Member States, Associate Members, European Cooperating States or Canada.","https://www.esa.int/About_Us/Careers_at_ESA/Student_Internships2","Offer-specific ESA supervisor","4","Official annual opening month is published; exact 2027 closing date is intentionally blank.","To check"
"ESRF–ILL International Summer Student Programme","France","European Synchrotron Radiation Facility and Institut Laue-Langevin","physics; materials science; engineering; scientific computing; data analysis","Bachelor; Master","2026-04-06","Winter for the September programme.","Programme support includes subsistence and arranged accommodation under the annual call.","Four weeks, 1–30 September 2026.","Undergraduate science and engineering students from ESRF/ILL member and associate countries.","Nationality or university-country eligibility is tied to member and scientific-associate countries.","https://www.esrf.fr/fr/home/education/summer-student-programme.html","Summer programme team","4","Short experimental-research programme with a defined member-country rule.","To check"
"ITER Internships","France","ITER Organization","plasma physics; nuclear engineering; control; scientific computing; data science","Bachelor; Master; PhD","2025-11-30","New opportunities are normally advertised in the last quarter of the year.","2026 category-based allowance up to €1,500/month; some categories receive €700–€1,300.","Up to six months, depending on the assignment.","Students enrolled in bachelor's, master's or doctoral programmes relevant to an advertised assignment.","Applicants must be nationals of an ITER Member: China, the European Union, India, Japan, Korea, Russia or the United States.","https://www.iter.org/public/jobs/internships","ITER internship team","4","Large-science engineering environment; exact allowance depends on assignment category.","To check"
"FAIR/GSI GET_INvolved Short-Term Internship","Germany","FAIR and GSI Helmholtzzentrum","accelerator physics; nuclear physics; engineering; scientific computing; data analysis","Bachelor; Master","","Applications are considered year-round with sufficient lead time.","Funding depends on the placement route and home-institution arrangement.","Three to six months.","Advanced bachelor's and master's students whose curriculum requires or recognizes an internship.","International candidates may apply; visa and funding must be resolved with the coordinator.","https://fair-center.eu/career/get_involved/short_term_internship","Dr Pradeep Ghosh","4","Good route for a curriculum-linked research placement in a major physics facility.","To check"
"BCAM Visiting & Internship Programme","Spain","Basque Center for Applied Mathematics","applied mathematics; optimization; control; numerical analysis; scientific computing; machine learning","Bachelor; Master; PhD","","Calls and direct visiting arrangements are published throughout the year.","Funding depends on the call, grant or host-group arrangement.","Call-specific research visit or internship.","Undergraduate, master's and doctoral students in mathematics or closely related quantitative fields.","International participation is possible; individual calls define funding and mobility conditions.","https://www.bcamath.org/en/join-us/bcam-visiting-programmes","Programme or research-line contact","5","High thematic fit; verify whether a currently funded student call is live.","To check"
"IMDEA Software Research Internships","Spain","IMDEA Software Institute","programming languages; AI; machine learning; systems; security; software engineering","Bachelor; Master","","Open call; applications are matched to researchers and available projects.","Competitive paid contract; exact salary depends on duration and candidate level.","Typically three to twelve months.","Undergraduate and master's students in computer science or a related field with strong academic preparation.","International applications are welcomed; the institute provides relocation and visa support where applicable.","https://software.imdea.org/careers/call-for-internships/","IMDEA Software internship committee","5","Explicitly research-focused and presented as preparation for future doctoral study.","To check"
"Imperial Undergraduate Research Opportunities Programme","United Kingdom","Imperial College London","AI; engineering; mathematics; physics; computing; data science","Bachelor","2026-03-01","Projects and bursary deadlines vary by department, mostly spring for summer work.","2026 internal UROP bursary rate was £424/week; not every project is funded.","Usually six to ten weeks.","Undergraduate students; departmental projects and bursaries may be restricted to Imperial students.","External non-UK/Irish nationals generally need settled or pre-settled status or another valid work route.","https://www.imperial.ac.uk/students/undergraduate-research-opportunities-programme/","Departmental UROP coordinator","3","Excellent internal ecosystem, but external and visa eligibility are narrow.","To check"
"LMS Undergraduate Research Bursaries","United Kingdom","London Mathematical Society","mathematics; statistics; applied mathematics; optimization; scientific computing","Bachelor","2026-02-01","Annual call; supervisors apply for the following summer.","Up to £325/week outside London or £335/week in London in the 2026 call.","Six to eight weeks full-time.","Undergraduates at UK institutions; an academic supervisor submits the application and the project must be mathematical.","Participation is tied to UK university enrolment and the student's existing right to undertake the work.","https://www.lms.ac.uk/grants/undergraduate-research-bursaries","LMS Grants team","3","Supervisor-led route to a bespoke mathematical summer project.","To check"
"EPFL Excellence in Engineering (E3)","Switzerland","EPFL School of Engineering","engineering; robotics; control; signal processing; microengineering; energy","Bachelor; Master","2025-12-01","Autumn for the following summer.","Living allowance and travel contribution under the annual E3 call.","Two to three months during summer.","Bachelor's and master's students worldwide in engineering, science or technology with strong academic records.","International students are eligible; visa handling depends on nationality and stay length.","https://eee.epfl.ch/","E3 programme team","4","Engineering counterpart to Summer@EPFL with research-lab matching.","To check"
"EPFL Summer in the Lab","Switzerland","EPFL","engineering; computer science; physics; mathematics; life sciences","Bachelor","2026-02-15","Winter for an eight-week summer project.","CHF 4,000 for the full eight-week programme.","Eight weeks.","EPFL students only, normally second- and third-year bachelor's students.","EPFL students only; existing Swiss student status applies.","https://www.epfl.ch/education/bachelor/enhanced-learning-programs/summer-in-the-lab-internship-program/","Summer in the Lab team","2","Useful benchmark for curated lab programmes but definitively internal.","To check"
"EPFL Life Sciences Summer Research Programme","Switzerland","EPFL School of Life Sciences","computational biology; bioinformatics; machine learning; data science; biophysics","Bachelor; Master","2025-11-15","Autumn; historical deadline was mid-November.","Stipend and travel contribution provided under programme rules.","Eight weeks; 3 July–27 August 2026.","Bachelor's and master's students worldwide with strong preparation in life science or a relevant quantitative discipline.","International applications are accepted; selected students receive administrative support.","https://www.epfl.ch/schools/sv/education/summer-research-program/","Life Sciences SRP team","3","Adjacent computational-biology route with strong research structure.","To check"
"Aalto Computer Science Summer Employee Positions","Finland","Aalto University Department of Computer Science","AI; machine learning; data science; algorithms; software; mathematics; statistics","Bachelor; Master","2026-01-31","January for summer employment.","Paid summer employment, typically at least €2,000/month depending on credits and experience.","Usually three months.","Students in computer science, data science, mathematics, statistics or adjacent fields; some positions prioritize students already studying in Finland.","International applicants outside Finland are directed primarily to AScI; local positions may require an existing Finnish study and work basis.","https://www.aalto.fi/en/department-of-computer-science/summer-employee-positions-at-the-department-of-computer-science-2026","Position-specific supervisor","4","Strong local complement to AScI; check whether each role is research-led.","To check"
"University of Helsinki Computer Science Summer Jobs","Finland","University of Helsinki Department of Computer Science","AI; machine learning; algorithms; data science; software systems; scientific computing","Bachelor; Master","2026-01-29","January through the Faculty of Science summer-jobs call.","Paid university employment; monthly salary depends on completed credits and experience.","Usually two to three months.","Computer-science or adjacent students; annual position descriptions set specific skill requirements.","Many positions target students enrolled at the University of Helsinki or already resident and eligible to work in Finland.","https://www.helsinki.fi/en/faculty-science/faculty/faculty-science-summer-jobs","Position-specific supervisor","4","Local pipeline of research-group summer roles; screen out non-research support jobs.","To check"
"Oxford UNIQ+ Research Internships","United Kingdom","University of Oxford","statistics; mathematics; computer science; engineering; physical sciences","Bachelor; Master","2026-02-18","Winter for the following summer.","Approximate programme stipend plus free college accommodation; annual amount may change.","Seven weeks.","UK-resident students from underrepresented or disadvantaged backgrounds who meet programme academic and widening-participation criteria.","UK residence is required by the widening-participation eligibility rules.","https://www.ox.ac.uk/admissions/graduate/access/uniq-plus","UNIQ+ team","3","Explicit PhD-preparation programme; strict UK residence and widening-participation rules.","To check"
"Vienna BioCenter Summer School","Austria","Vienna BioCenter","computational biology; bioinformatics; machine learning; biophysics; life sciences","Bachelor; Master","2026-01-11","Late autumn through January.","Free accommodation, €1,400 after-tax stipend and medical insurance.","Nine weeks.","Undergraduate and master's students worldwide with at least two completed years in a life-science or relevant quantitative programme.","Worldwide applicants are eligible; selected students receive visa guidance.","https://training.vbc.ac.at/summer-school/","Summer School team","3","Adjacent life-science programme; prioritize computational and quantitative labs.","To check"
"Amgen Scholars Europe at Cambridge","United Kingdom","University of Cambridge","computational biology; bioengineering; data science; biophysics; life sciences","Bachelor","","The official site states that 2027 applications open 1 November 2026.","Funded programme with stipend, accommodation and travel support under the annual call.","Eight-week research placement.","Undergraduates studying at European institutions who meet the annual subject and year-of-study rules.","Eligibility is based on European university enrolment; UK entry requirements still depend on nationality.","https://amgenscholars.bio.cam.ac.uk/","Cambridge Amgen Scholars team","3","Official future opening date; no exact future deadline is inferred.","To check"
"Amgen Scholars Europe at LMU Munich","Germany","Ludwig-Maximilians-Universität München","computational biology; bioinformatics; data science; biophysics; life sciences","Bachelor","","The next annual call is expected to open 1 November 2026.","Programme stipend, housing and travel support under the annual call.","Approximately eight to ten weeks.","Undergraduate students enrolled at European institutions who satisfy annual academic and study-stage criteria.","European-institution enrolment is required; visa handling depends on nationality.","https://www.amgenscholars.mcn.uni-muenchen.de/","LMU Amgen Scholars team","3","Quantitative projects are a smaller subset; use the official research catalogue.","To check"
"CERN Summer Student Programme","Switzerland","CERN","particle physics; engineering; scientific computing; data science; accelerator science","Bachelor; Master","2026-01-26","Late autumn through January for the following summer.","Daily subsistence allowance, travel allowance and health-insurance support.","Eight to thirteen weeks.","Bachelor's or master's students in physics, engineering, computer science or mathematics with at least six semesters completed.","Member-state and non-member-state routes exist; annual quotas and nationality categories apply.","https://careers.cern/summer","CERN Students team","4","Broader scientific counterpart to CERN openlab.","To check"
